title,start_dt_local,start_date,venue,city,state,country,price_min,price_max,place,price
Dark Jokes - A Dark Jokes Comedy Show,2025-10-01 22:30,2025-10-01,,,,,499,499,,499
Dastaan - Live in Concert A Carnival of Art,2025-10-05 19:00,2025-10-05,,,,,149,149,,149
Date Night: Crowd Work - Game Show by Siddharth,2025-10-10 22:00,2025-10-10,,,,,999,999,,999
Date Night Art - Bangalore,2025-10-11 14:00,2025-10-11,,,,,2499,2499,,2499
Dating Dilemma Discussions,2025-10-04 17:00,2025-10-04,,,,,499,499,,499
Demo Session - Basics Of Photography,2025-10-11 16:30,2025-10-11,,,,,200,200,,200
Deep Dive into Design Thinking,2025-10-12 10:45,2025-10-12,,,,,2400,2400,,2400
DHANDIYA NIGHT SUNDAY,2025-10-05 21:30,2025-10-05,,,,,0,0,,0
Dialogues with Books,2025-10-19 16:00,2025-10-19,,,,,189,189,,189
IIT aur Pharma! (Koramangala),2025-10-05 19:20,2025-10-05,,,,,199,199,,199
DIY Fairy House,2025-10-05 14:00,2025-10-05,,,,,899,899,,899
DIY Sock Puppet,2025-10-02 14:15,2025-10-02,,,,,999,999,,999
Do You Know Who I Am? by Daniel Fernandes,2025-10-04 18:00,2025-10-04,,,,,1799,1799,,1799
Echoes - Deepak Pandit Live,2025-11-15 18:00,2025-11-15,,,,,799,799,,799
Edible Chocolate painting,2025-10-04 4:00,2025-10-04,,,,,699,699,,699
Embroidery Workshops,2025-11-01 11:30,2025-11-01,,,,,1000,1000,,1000
Fake Kalyanam (Tamil Version),2025-10-11 19:00,2025-10-11,,,,,499,499,,499
Family Pottery Workshop,2025-10-12 10:30,2025-10-12,,,,,2499,2499,,2499
First Move by Abishek and Nirmal,2025-10-04 14:00,2025-10-04,,,,,799,799,,799
Fluid Art Date - Bangalore,2025-10-25 14:33,2025-10-25,,,,,2399,2399,,2399
Fractal Cortex ft Maramba,2025-10-11 18:00,2025-10-11,,,,,799,799,,799
Comedy at Starbucks Indiranagar(12th Main),2025-10-03 22:30,2025-10-03,,,,,199,199,,199
Friday Let's Party At: Drava Koramangala,2025-10-03 20:00,2025-10-03,,,,,0,0,,0
Friday Night Meeples Party! - Board Games Meet Up,2025-10-10 19:00,2025-10-10,,,,,249,249,,249
Fridge Clay Magnet,2025-11-08 14:00,2025-11-08,,,,,699,699,,699
Dono ft Gaurav Kapoor & Vinay Sharma,2025-10-30 19:00,2025-10-30,,,,,799,799,,799
Fun Play and Learn,2025-10-02 18:30,2025-10-02,,,,,100,100,,100
Gandhigiri,2025-10-18 15:00,2025-10-18,,,,,399,399,,399
Garba Dance Workshop @Newyorkdanceclasses,2025-10-02 20:30,2025-10-02,,,,,1499,1499,,1499
Bollywood Dance By Nivedita Mitra,2025-10-05 16:00,2025-10-05,,,,,499,499,,499
Allow Me!: A Standup Comedy Show by Rahul Dua,2025-10-24 20:00,2025-10-24,,,,,1199,1199,,1199
AP Dhillon: One Of One - India Tour,2025-12-28 19:00,2025-12-28,,,,,2499,2499,,2499
AP Dhillon: One Of One Tour - Ludhiana,2025-12-12 18:30,2025-12-12,,,,,177000,177000,,177000
Punchlines After Dark - A Surprise Lineup Show,2025-10-13 21:30,2025-10-13,,,,,149,149,,149
Carry On Mummy By Harpriya Bains,2025-11-01 18:00,2025-11-01,,,,,499,499,,499
Chandigarh Comedy Festival 2025,2025-11-22 17:00,2025-11-22,,,,,0,0,,0
The Great Chess Detectives,2025-10-04 19:00,2025-10-04,,,,,333,333,,333
Comedy Ladder comedy-shows Mumbai - BookMyShow,,,,,,,,,,
Confidence FT. Ravi Khurana,2025-10-03 18:00,2025-10-03,,,,,249,249,,249
Daily Ka Kaam Hai By Aakash Gupta - Chandigarh,2025-10-12 19:00,2025-10-12,,,,,799,799,,799
Daily Ka Kaam Hai By Aakash Gupta comedy-shows Mumbai - BookMyShow,,,,,,,,,,
Dhak Dhak - A Storytelling Special (Chandigarh),2025-11-09 19:00,2025-11-09,,,,,799,799,,799
Gareeb Baap ki Bigadi Aulad By Amrita sethi,2025-10-17 19:00,2025-10-17,,,,,1499,1499,,1499
Hakuna Matata - A Stand up Comedy Lineup Show,2025-10-04 20:00,2025-10-04,,,,,349,349,,349
Ishq Sufiyana By Laksh Maheshwari Performances Event Tickets - BookMyShow,,,,,,,,,,
IYKYK ALL WHITE,2025-10-03 20:00,2025-10-03,,,,,39999,39999,,39999
Jon Batiste - The Maestro Series,2025-11-24 20:00,2025-11-24,,,,,,,,
Kids Chess Championship (Online),2025-10-26 20:30,2025-10-26,,,,,249,249,,249
Kyunki Mein Jhooth Nahi Bolta Ft. Deepak Sharma,2025-10-11 18:00,2025-10-11,,,,,199,199,,199
Lath Dhara Bhittar comedy-shows Event Tickets Agra - BookMyShow,,,,,,,,,,
Magic Beans Online Kids Workshops workshops Mumbai - BookMyShow,,,,,,,,,,
Magic Beans - RHYME AND RHYTHM (OFFLINE),2025-11-05 16:45,2025-11-05,,,,,650,650,,650
MATH OLYMPIAD EXAM-Chess,2025-10-04 20:00,2025-10-04,,,,,151,151,,151
MODERN MAJNU - INDIA TOUR,2025-10-12 17:00,2025-10-12,,,,,499,499,,499
Dysfunctional by Mohd Suhel,2025-10-03 20:00,2025-10-03,,,,,299,299,,299
Non Sense Ft. Parvinder Singh,2025-10-12 19:30,2025-10-12,,,,,499,499,,499
Nykaaland 2025 - Beauty's Biggest Playground,2025-11-08 12:00,2025-11-08,,,,,999,999,,999
Oriole Entertainment Live comedy-shows Mumbai - BookMyShow,,,,,,,,,,
Out of this world tour by Anmol Magic,2025-11-01 20:00,2025-11-01,,,,,499,499,,499
Piyush Mishra's Aarambh 2.0 by The Times of India music-shows Mumbai - BookMyShow,,,,,,,,,,
Piyush Mishra's Aarambh 2.0 by TOI-Chandigarh,2025-12-06 19:00,2025-12-06,,,,,1349,1349,,1349
PopClay Workshop,2025-10-04 16:00,2025-10-04,,,,,1199,1199,,1199
Post Malone Live In Guwahati,2025-12-08 17:00,2025-12-08,,,,,15999,15999,,15999
Picche kya bajta hai ? Ft. Pritish Narula,2025-10-03 19:00,2025-10-03,,,,,999,999,,999
RANGAN DI USTAT Live show by MANPREET SINGH,2025-10-11 18:00,2025-10-11,,,,,999,999,,999
Sareya Nu Dass Do ft. Jagparam,2025-10-05 18:00,2025-10-05,,,,,349,349,,349
Pro Smartphone Photography - 2 Day Program,2025-11-08 14:00,2025-11-08,,,,,7500,7500,,7500
SONU NIGAM LIVE IN CONCERT - CHANDIGARH,2025-11-08 19:00,2025-11-08,,,,,3499,3499,,3499
Summer Comedy Marathon by The Laugh Club comedy-shows Chandigarh - BookMyShow,,,,,,,,,,
Sunburn Reload Octoburn,2025-10-11 17:00,2025-10-11,,,,,999,999,,999
THE GRAND FAKE WEDDING - CHANDIGARH,2025-10-11 20:30,2025-10-11,,,,,1499,1499,,1499
LOL - A Standup Comedy Trial Show,2025-10-14 20:00,2025-10-14,,,,,199,199,,199
The Nusrat Experience by The Collective Projekt,2025-10-12 21:00,2025-10-12,,,,,35000,35000,,35000
Adult Jokes Night - A Lineup Comedy Show,2025-10-26 22:00,2025-10-26,,,,,129,129,,129
VIR DAS - SOUNDS OF INDIA,2025-10-11 20:00,2025-10-11,,,,,1499,1499,,1499
10 Mani Doctor - Dark & Adult Comedy Show,2025-10-11 22:00,2025-10-11,,,,,350,350,,350
3D Printing Business Workshop,2025-10-19 11:00,2025-10-19,,,,,1499,1499,,1499
8 by Praveen Kumar,2025-11-15 16:00,2025-11-15,,,,,799,799,,799
Abishek Wants to Enjoy Life - A Comedy Special,2025-10-25 15:00,2025-10-25,,,,,799,799,,799
Acrylic Affair,2025-10-05 15:00,2025-10-05,,,,,699,699,,699
Anu Vaidyanathan Live,2025-11-28 20:00,2025-11-28,,,,,349,349,,349
Bachata Workshop - Beginners,2025-10-05 18:30,2025-10-05,,,,,399,399,,399
Bad Drawing Party Workshops Event Tickets - BookMyShow,,,,,,,,,,
Bharadwaj in Autograph Live in Concert,2025-10-12 18:00,2025-10-12,,,,,1000,1000,,1000
Blacksheep Presents Single Ponnunga Music Party,2025-10-04 18:00,2025-10-04,,,,,299,299,,299
Bottle Painting,2025-10-04 16:00,2025-10-04,,,,,899,899,,899
Blissful Brownies Workshop,2025-10-28 11:00,2025-10-28,,,,,2000,2000,,2000
Cake Baking and Frosting,2025-10-25 11:00,2025-10-25,,,,,4000,4000,,4000
Canvas Painting,2025-10-03 15:00,2025-10-03,,,,,699,699,,699
Cap Mania Tour ft Himesh Reshammiya - Chennai,2025-12-06 19:00,2025-12-06,,,,,2999,2999,,2999
Chai Pe Charcha,2025-10-19 15:00,2025-10-19,,,,,499,499,,499
Chocolates Making Workshop,2025-10-11 11:00,2025-10-11,,,,,2500,2500,,2500
Clay coaster workshop,2025-10-02 15:15,2025-10-02,,,,,1699,1699,,1699
"City Farm Retreat: Yoga, Art & Gardening",2025-10-12 7:00,2025-10-12,,,,,3299,3299,,3299
Clay Miniature World,2025-10-03 15:00,2025-10-03,,,,,599,599,,599
Hand Built Pottery,2025-10-04 15:00,2025-10-04,,,,,699,699,,699
Coffee Conversations,2025-10-04 15:00,2025-10-04,,,,,599,599,,599
Cookies Workshop,2025-10-10 11:00,2025-10-10,,,,,2000,2000,,2000
Couples Not Allowed - A Standup Comedy Show,2025-10-05 16:00,2025-10-05,,,,,250,250,,250
Crochet Workshop,2025-10-02 16:30,2025-10-02,,,,,1999,1999,,1999
Cuff And Paint,2025-10-10 11:30,2025-10-10,,,,,1600,1600,,1600
"Salsa, Bachata, Urbankiz Dance Workshop",2025-10-04 18:00,2025-10-04,,,,,999,999,,999
Couples' Art Workshop,2025-10-03 16:00,2025-10-03,,,,,1299,1299,,1299
Dhak Dhak - A Storytelling special (Chennai),2025-11-30 18:30,2025-11-30,,,,,1499,1499,,1499
Dhandho ft Munawar Faruqui,2025-10-26 16:00,2025-10-26,,,,,999,999,,999
Diwali workshop,2025-10-18 10:00,2025-10-18,,,,,3000,3000,,3000
Custom Fridge Magnets,2025-10-02 15:00,2025-10-02,,,,,599,599,,599
Dreamcatcher Workshop,2025-10-04 15:30,2025-10-04,,,,,1599,1599,,1599
Epic Date Pass,2025-10-05 17:30,2025-10-05,,,,,1799,1799,,1799
Work Life Imbalance - A Tamil Standup Comedy Show,2025-10-11 18:00,2025-10-11,,,,,319,319,,319
"Fire & Ice: Goa, Music, Love at The Beach Terrace",2025-10-11 17:00,2025-10-11,,,,,799,799,,799
Fluid Art Workshop,2025-10-03 15:00,2025-10-03,,,,,1599,1599,,1599
Let It Flow,2025-10-12 16:00,2025-10-12,,,,,899,899,,899
Focus Forward: The Power of Deep Work,2025-10-06 20:00,2025-10-06,,,,,750,750,,750
Freestyle Dance,2025-10-04 20:00,2025-10-04,,,,,349,349,,349
Fukra Entertainment comedy-shows Mumbai - BookMyShow,,,,,,,,,,
GEMINI CIRCUS,2025-10-23 13:00,2025-10-23,,,,,400,400,,400
EXTRA ORDINARY - Standup Comedy Ft. MANOJ PRABAKAR,2025-10-05 18:00,2025-10-05,,,,,449,449,,449
Golden Era Rock Ft. Blue Bird,2025-10-17 20:30,2025-10-17,,,,,500,500,,500
Haan Pehli Baar - A Kishore Da Tribute!,2025-10-11 18:30,2025-10-11,,,,,2000,2000,,2000
Hand pressed Pottery,2025-10-15 18:00,2025-10-15,,,,,899,899,,899
Happily Unmarried,2025-10-12 20:00,2025-10-12,,,,,499,499,,499
"Henrique Camacho, Live in Chennai",2025-10-12 17:00,2025-10-12,,,,,14999,14999,,14999
Ice Cream & Kulfi Making Workshop,2025-10-03 11:00,2025-10-03,,,,,1800,1800,,1800
ImagiNesan - A Live Standup Show By Nesan David,2025-10-26 16:00,2025-10-26,,,,,799,799,,799
Japanese Kintsugi Workshop,2025-10-11 15:30,2025-10-11,,,,,899,899,,899
JUMBO CIRCUS,2025-10-10 19:00,2025-10-10,,,,,350,350,,350
K S CHITRA LIVE IN SALEM,2025-12-20 18:00,2025-12-20,,,,,1499,1499,,1499
Karsh Kale - IRL - Its Really Live,2025-10-04 19:00,2025-10-04,,,,,2697,2697,,2697
Kenny Sebastian Live,2025-10-04 18:00,2025-10-04,,,,,999,999,,999
KIDS Family FunDay  SPL Chetpet Eco park,2025-10-02 16:00,2025-10-02,,,,,249,249,,249
KIDS COMICAL Puppet Show Chetpet Eco Park Chennai kids Event Tickets Chennai - BookMyShow,,,,,,,,,,
Magic Show in LakeView Party Hall Chetpet Eco Park,2025-10-02 16:00,2025-10-02,,,,,249,249,,249
KIDS CARNIVAL Games Magic Mimicry Comedy @ EcoPark,2025-10-02 16:00,2025-10-02,,,,,249,249,,249
The Cry Club,2025-10-04 17:35,2025-10-04,,,,,499,499,,499
Little Green Thumbs,2025-10-11 10:00,2025-10-11,,,,,1800,1800,,1800
Macrame Workshop,2025-10-05 18:00,2025-10-05,,,,,1599,1599,,1599
Kid's Texture Workshop,2025-10-05 18:00,2025-10-05,,,,,1699,1699,,1699
