event_id,title,url,start_dt_iso,start_date,start_time,segment,genre,subgenre,price_min,price_max,currency,venue,city,state,country,lat,lon,source,raw_market,start_ts,price_use
rZ7HnEZ1AfpK3d,Omega Mighty with Special Guests,https://www.ticketweb.ca/event/omega-mighty-with-special-guests-drake-underground-tickets/14593483,2025-11-08T00:30:00Z,2025-11-07,19:30:00,Music,R&B,R&B,27.65,27.65,CAD,Drake Underground,Toronto,ON,CA,43.643290,-79.424630,ticketmaster,,2025-11-08 00:30:00+00:00,27.65
rZ7HnEZ1AffF1K,"Anciients, Howling Giant",https://www.ticketweb.ca/event/anciients-howling-giant-lees-palace-tickets/14508293,2025-11-08T00:30:00Z,2025-11-07,19:30:00,Music,Metal,Metal,34.63,34.63,CAD,Lee's Palace,Toronto,ON,CA,43.665249,-79.409447,ticketmaster,,2025-11-08 00:30:00+00:00,34.63
LvZ18QGB4A6KFaOZvWreQ,DARKFIELD: SÉANCE | TORONTO,https://www.universe.com/events/darkfield-seance-toronto-tickets-51NJ8D?ref=ticketmaster,2025-11-08T00:30:00Z,2025-11-07,19:30:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 00:30:00+00:00,
15d7ZbPko_-bZ,Elles,https://www.ticketmaster.ca/elles-montreal-quebec-11-07-2025/event/3100625191661600,2025-11-08T00:30:00Z,2025-11-07,19:30:00,Arts & Theatre,Variety,Cabaret,,,,CABARET DU CASINO DE MONTREAL,Montreal,QC,CA,45.50670840,-73.52595120,ticketmaster,,2025-11-08 00:30:00+00:00,
17G8vxG6unLwxE3,Mrs. Doubtfire,https://www.ticketmaster.ca/mrs-doubtfire-ottawa-ontario-11-07-2025/event/310062DA9FCA29D2,2025-11-08T00:30:00Z,2025-11-07,19:30:00,Arts & Theatre,Theatre,Musical,,,,National Arts Centre / Centre national des Arts,Ottawa,ON,CA,45.42323700,-75.69222800,ticketmaster,,2025-11-08 00:30:00+00:00,
LvZ18QGBq_QW7Z8ZvXaoo,DARKFIELD: FLIGHT | TORONTO,https://www.universe.com/events/darkfield-flight-toronto-tickets-BZ3WQG?ref=ticketmaster,2025-11-08T00:40:00Z,2025-11-07,19:40:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 00:40:00+00:00,
rZ7HnEZ1Afbprd,"The Harriets w/ Weather Wise, Cicadachar & Ryan Maguire",https://www.ticketweb.ca/event/the-harriets-w-weather-wise-hard-luck-bar-tickets/14616783,2025-11-08T01:00:00Z,2025-11-07,20:00:00,Music,Alternative,Indie Rock,16.48,16.48,CAD,Hard Luck Bar,Toronto,ON,CA,43.652150,-79.407552,ticketmaster,,2025-11-08 01:00:00+00:00,16.48
1A8ZkGtGkeR0e9d,Malala Yousafzai: Finding My Way Book Tour,https://admitone.com/events/malala-yousafzai-toronto-10147872,2025-11-08T01:00:00Z,2025-11-07,20:00:00,Miscellaneous,Community/Civic,Community/Civic,,,,Queen Elizabeth Theatre,Toronto,ON,CA,43.63259410,-79.42039150,ticketmaster,,2025-11-08 01:00:00+00:00,
LvZ18QGB4A6KFaOZvWreh,DARKFIELD: SÉANCE | TORONTO,https://www.universe.com/events/darkfield-seance-toronto-tickets-51NJ8D?ref=ticketmaster,2025-11-08T01:00:00Z,2025-11-07,20:00:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 01:00:00+00:00,
Z7r9jZ1A7j6xe,Malala Yousafzai,https://www.ticketmaster.com/event/Z7r9jZ1A7j6xe,2025-11-08T01:00:00Z,2025-11-07,20:00:00,Miscellaneous,Hobby/Special Interest Expos,Hobby/Special Interest Expos,,,,Queen Elizabeth Theatre - Toronto,Toronto,ON,CA,0,0,ticketmaster,,2025-11-08 01:00:00+00:00,
17G8vxG6CR23xn1,Lil Tecca,https://www.ticketmaster.ca/lil-tecca-montreal-quebec-11-07-2025/event/310062EBCF4A2A8A,2025-11-08T01:00:00Z,2025-11-07,20:00:00,Music,Hip-Hop/Rap,French Rap,,,,L'Olympia,Montreal,QC,CA,45.51701000,-73.55687400,ticketmaster,,2025-11-08 01:00:00+00:00,
LvZ18Qa3zeJSi2YZRU_cA,Lil Mo Mozzarella,https://www.universe.com/events/lil-mo-mozzarella-tickets-D2C8BR?ref=ticketmaster,2025-11-08T01:00:00Z,2025-11-07,20:00:00,,,,,,,Fairmount Theatre,Montreal,QC,CA,45.52055000,-73.59846000,ticketmaster,,2025-11-08 01:00:00+00:00,
LvZ18QGBq_QW7Z8ZvXao3,DARKFIELD: FLIGHT | TORONTO,https://www.universe.com/events/darkfield-flight-toronto-tickets-BZ3WQG?ref=ticketmaster,2025-11-08T01:10:00Z,2025-11-07,20:10:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 01:10:00+00:00,
LvZ18QGB4A6KFaOZvWrej,DARKFIELD: SÉANCE | TORONTO,https://www.universe.com/events/darkfield-seance-toronto-tickets-51NJ8D?ref=ticketmaster,2025-11-08T01:30:00Z,2025-11-07,20:30:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 01:30:00+00:00,
1AsZkGJGkdzfVyZ,Back to the 80's avec NEON,https://www.ticketmaster.ca/back-to-the-80s-avec-neon-montreal-quebec-11-07-2025/event/31006326F8534E40,2025-11-08T01:30:00Z,2025-11-07,20:30:00,Music,Dance/Electronic,Witchstep,,,,Le Balcon,Montreal,QC,CA,45.50601053,-73.56700723,ticketmaster,,2025-11-08 01:30:00+00:00,
LvZ18QkVzZEJeKOZlBjOm,THE BROKES : THE STROKES EXPERIENCE,https://www.universe.com/events/the-brokes-the-strokes-experience-tickets-ZF60QY?ref=ticketmaster,2025-11-08T01:30:00Z,2025-11-07,20:30:00,,,,,,,Foufounes Electriques,Montreal,QC,CA,45.51113000,-73.56313000,ticketmaster,,2025-11-08 01:30:00+00:00,
LvZ18QuMhOYJuLOZIHXKR,COURTSIDE - UBC Thunderbirds Basketball vs. UVIC Vikes,https://www.universe.com/events/courtside-ubc-thunderbirds-basketball-vs-uvic-vikes-tickets-NBK0GP?ref=ticketmaster,2025-11-08T01:30:00Z,2025-11-07,17:30:00,,,,,,,UBC - Thunderbird Stadium,Vancouver,BC,CA,49.26076450,-123.24218030,ticketmaster,,2025-11-08 01:30:00+00:00,
LvZ18QGBq_QW7Z8ZvXaoK,DARKFIELD: FLIGHT | TORONTO,https://www.universe.com/events/darkfield-flight-toronto-tickets-BZ3WQG?ref=ticketmaster,2025-11-08T01:40:00Z,2025-11-07,20:40:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 01:40:00+00:00,
rZ7HnEZ1Af4d7K,Rare DM with Special Guests,https://www.ticketweb.ca/event/rare-dm-with-special-guests-the-dance-cave-tickets/14543113,2025-11-08T02:00:00Z,2025-11-07,21:00:00,Music,Alternative,Goth,27.16,27.16,CAD,The Dance Cave,Toronto,ON,CA,43.665244,-79.409452,ticketmaster,,2025-11-08 02:00:00+00:00,27.16
LvZ18QGB4A6KFaOZvWreq,DARKFIELD: SÉANCE | TORONTO,https://www.universe.com/events/darkfield-seance-toronto-tickets-51NJ8D?ref=ticketmaster,2025-11-08T02:00:00Z,2025-11-07,21:00:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 02:00:00+00:00,
1AsZkG6Gkd170j0,Sammy Virji - North America Tour Part Two,https://www.ticketmaster.ca/sammy-virji-north-america-tour-part-montreal-quebec-11-07-2025/event/31006307CA124724,2025-11-08T02:00:00Z,2025-11-07,21:00:00,Music,Dance/Electronic,Witchstep,,,,MTELUS,Montreal,QC,CA,45.51053480,-73.56337200,ticketmaster,,2025-11-08 02:00:00+00:00,
1778vxG62h3pgvP,Calgary Flames vs. Chicago Blackhawks,https://www.ticketmaster.ca/calgary-flames-vs-chicago-blackhawks-calgary-alberta-11-07-2025/event/110062F6D25B5065,2025-11-08T02:00:00Z,2025-11-07,19:00:00,Sports,Hockey,NHL,,,,Scotiabank Saddledome,Calgary,AB,CA,51.03856260,-114.05248790,ticketmaster,,2025-11-08 02:00:00+00:00,
LvZ18QGBq_QW7Z8ZvXaof,DARKFIELD: FLIGHT | TORONTO,https://www.universe.com/events/darkfield-flight-toronto-tickets-BZ3WQG?ref=ticketmaster,2025-11-08T02:10:00Z,2025-11-07,21:10:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 02:10:00+00:00,
177ZvxG61GrDPn3,Noel Miller Live!,https://www.ticketmaster.ca/noel-miller-live-toronto-ontario-11-07-2025/event/100062A31EEE5A92,2025-11-08T02:30:00Z,2025-11-07,21:30:00,Arts & Theatre,Comedy,Comedy,,,,The Elgin & Winter Garden Theatres,Toronto,ON,CA,43.65291940,-79.37945170,ticketmaster,,2025-11-08 02:30:00+00:00,
LvZ18QGB4A6KFaOZvWrer,DARKFIELD: SÉANCE | TORONTO,https://www.universe.com/events/darkfield-seance-toronto-tickets-51NJ8D?ref=ticketmaster,2025-11-08T02:30:00Z,2025-11-07,21:30:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 02:30:00+00:00,
LvZ18QGBq_QW7Z8ZvXao4,DARKFIELD: FLIGHT | TORONTO,https://www.universe.com/events/darkfield-flight-toronto-tickets-BZ3WQG?ref=ticketmaster,2025-11-08T02:40:00Z,2025-11-07,21:40:00,Arts & Theatre,Multimedia,Multimedia,,,,STACKT Market,Toronto,ON,CA,43.64095700,-79.40217000,ticketmaster,,2025-11-08 02:40:00+00:00,
rZ7HnEZ1AKxbPf,X CLUB,https://www.ticketweb.ca/event/x-club-coda-tickets/13898954,2025-11-08T03:00:00Z,2025-11-07,22:00:00,Music,Dance/Electronic,Dance/Electronic,45.9,45.9,CAD,CODA,Toronto,ON,CA,43.665374,-79.411540,ticketmaster,,2025-11-08 03:00:00+00:00,45.9
1718vxG6GGhEYxF,DIMENSION,https://www.ticketweb.ca/event/dimension-131-mccormack-street-tickets/13785614?REFERRAL_ID=tmfeed,2025-11-08T03:00:00Z,2025-11-07,22:00:00,Music,Dance/Electronic,Witchstep,,,,131 McCormack Street,Toronto,ON,CA,,,ticketmaster,,2025-11-08 03:00:00+00:00,
1778vxG62Qybf1S,Little Big - The Original Skibidi Tour,https://www.ticketmaster.ca/little-big-the-original-skibidi-tour-vancouver-british-columbia-11-07-2025/event/110062F6B96142B3,2025-11-08T03:00:00Z,2025-11-07,19:00:00,Music,Dance/Electronic,Witchstep,,,,Commodore Ballroom,Vancouver,BC,CA,49.28064620,-123.12086520,ticketmaster,,2025-11-08 03:00:00+00:00,
1Av7ZbwGkXUdAO0,Emilio Lovera: Ahora El Malandro Si Está Asustado,https://www.ticketmaster.ca/emilio-lovera-ahora-el-malandro-si-calgary-alberta-11-07-2025/event/1100632FB60C5824,2025-11-08T03:00:00Z,2025-11-07,20:00:00,Arts & Theatre,Comedy,Comedy,,,,Bella Concert Hall - Mount Royal University,Calgary,AB,CA,51.01113400,-114.13183000,ticketmaster,,2025-11-08 03:00:00+00:00,
rZ7HnEZ1AfZIGK,Emo Night Toronto at Sneaky Dee's,https://www.ticketweb.ca/event/emo-night-toronto-at-sneaky-sneaky-dees-concert-venue-tickets/14028313,2025-11-08T03:30:00Z,2025-11-07,22:30:00,Music,Rock,Emo,7.43,7.43,CAD,Sneaky Dee's Concert Venue,Toronto,ON,CA,43.656413,-79.4074860,ticketmaster,,2025-11-08 03:30:00+00:00,7.43
rZ7HnEZ1AfZPbN,FELLY with Breakup Shoes,https://www.ticketweb.ca/event/felly-with-breakup-shoes-the-pearl-tickets/14025623,2025-11-08T03:30:00Z,2025-11-07,19:30:00,Music,Hip-Hop/Rap,Hip-Hop/Rap,22.26,33.81,CAD,The Pearl,Vancouver,BC,CA,49.280658,-123.121407,ticketmaster,,2025-11-08 03:30:00+00:00,22.26
rZ7HnEZ1AKrfO0,Chalk w/ Dour,https://www.ticketweb.ca/event/chalk-w-dour-the-fox-cabaret-tickets/13794824,2025-11-08T03:30:00Z,2025-11-07,19:30:00,Music,Alternative,Post-Punk,27.68,27.68,CAD,The Fox Cabaret,Vancouver,BC,CA,49.264240,-123.101410,ticketmaster,,2025-11-08 03:30:00+00:00,27.68
rZ7HnEZ1Aff4QK,PAUL VAN DYK,https://www.ticketweb.ca/event/paul-van-dyk-dprtmnt-tickets/14515693,2025-11-08T03:30:00Z,2025-11-07,22:30:00,Music,Dance/Electronic,Trance,41.84,54.53,CAD,DPRTMNT,Toronto,ON,CA,43.646470,-79.396890,ticketmaster,,2025-11-08 03:30:00+00:00,41.84
rZ7HnEZ1AKOKrf,ALGERNON CADWALLADER with LAKE & First Day Back,https://www.ticketweb.ca/event/algernon-cadwallader-with-lake-rickshaw-theatre-tickets/13813794,2025-11-08T04:00:00Z,2025-11-07,20:00:00,Music,Rock,Punk,35.87,35.87,CAD,Rickshaw Theatre,Vancouver,BC,CA,49.280983,-123.098359,ticketmaster,,2025-11-08 04:00:00+00:00,35.87
LvZ18QukLkQ-3aYZnD8bM,HELLO PSYCHALEPPO (LIVE) Montreal Debut,https://www.universe.com/events/hello-psychaleppo-live-montreal-debut-tickets-KZ2VHY?ref=ticketmaster,2025-11-08T04:00:00Z,2025-11-07,23:00:00,,,,,,,Bar le Ritz PDB,Montreal,QC,CA,45.53277000,-73.62028000,ticketmaster,,2025-11-08 04:00:00+00:00,
1k7ZvNf6GAGOVyq,Guided Tours of Scotiabank Arena,https://www.ticketmaster.ca/guided-tours-of-scotiabank-arena-toronto-ontario-11-07-2025/event/100063507C834E5D,2025-11-08T04:59:00Z,2025-11-07,23:59:00,Miscellaneous,Undefined,Undefined,,,,Scotiabank Arena,Toronto,ON,CA,43.64392540,-79.37832340,ticketmaster,,2025-11-08 04:59:00+00:00,
