City,Check-in,Check-out,Hotel Name,Location,Rating,Price,URL
Mumbai,2025-11-06,2025-11-08,Apollo Guest House,"Colaba, Mumbai (Mumbai Historical And Heritage)",Scored 8.58.5Very good439 reviews,CAD 110,https://www.booking.comhttps://www.booking.com/hotel/in/apollo-guest-house-mumbai1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=948367303_420776129_2_0_0&highlighted_blocks=948367303_420776129_2_0_0&matching_block_id=948367303_420776129_2_0_0&sr_pri_blocks=948367303_420776129_2_0_0__690000&from=searchresults
Mumbai,2025-11-06,2025-11-08,Hotel Ariana Residency,"Western Suburbs, Mumbai (Andheri)",Scored 7.27.2Good611 reviews,CAD 219,https://www.booking.comhttps://www.booking.com/hotel/in/ariana-residency.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=877862902_386352140_2_2_0&highlighted_blocks=877862902_386352140_2_2_0&matching_block_id=877862902_386352140_2_2_0&sr_pri_blocks=877862902_386352140_2_2_0__1373464&from=searchresults
Mumbai,2025-11-06,2025-11-08,Orbit Serviced Apartments,"Khar, Mumbai (Western Suburbs)",Scored 9.49.4Superb47 reviews,CAD 745,https://www.booking.comhttps://www.booking.com/hotel/in/orbit-serviced-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=1285882601_405621478_4_0_0&highlighted_blocks=1285882601_405621478_4_0_0&matching_block_id=1285882601_405621478_4_0_0&sr_pri_blocks=1285882601_405621478_4_0_0__4680000&from=searchresults
Mumbai,2025-11-06,2025-11-08,Theory9 Premium Service Apartments Khar,"Khar, Mumbai (Western Suburbs)",Scored 8.38.3Very good157 reviews,CAD 329,https://www.booking.comhttps://www.booking.com/hotel/in/samyakth-bliss-by-casa-royale.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=315014801_375589986_2_0_0_376049&highlighted_blocks=315014801_375589986_2_0_0_376049&matching_block_id=315014801_375589986_2_0_0_376049&sr_pri_blocks=315014801_375589986_2_0_0_376049_2065320&from=searchresults
Mumbai,2025-11-06,2025-11-08,YWCA International Centre,"Colaba, Mumbai (Mumbai Historical And Heritage)",Scored 8.48.4Very good218 reviews,CAD 200,https://www.booking.comhttps://www.booking.com/hotel/in/ywca-international-centre.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=373068707_266488278_0_17_0&highlighted_blocks=373068707_266488278_0_17_0&matching_block_id=373068707_266488278_0_17_0&sr_pri_blocks=373068707_266488278_0_17_0__1258400&from=searchresults
Mumbai,2025-11-06,2025-11-08,The Leela Mumbai,"Western Suburbs, Mumbai (Andheri)","Scored 9.09.0Superb3,672 reviews",CAD 621,https://www.booking.comhttps://www.booking.com/hotel/in/the-leela-mumbai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=24995130_421825558_2_42_0&highlighted_blocks=24995130_421825558_2_42_0&matching_block_id=24995130_421825558_2_42_0&sr_pri_blocks=24995130_421825558_2_42_0__3899750&from=searchresults
Mumbai,2025-11-06,2025-11-08,Fairmont Mumbai,"Western Suburbs, Mumbai (Andheri)",Scored 9.09.0Superb197 reviews,CAD 557,https://www.booking.comhttps://www.booking.com/hotel/in/fairmont-mumbai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=1358672213_408194179_2_0_0&highlighted_blocks=1358672213_408194179_2_0_0&matching_block_id=1358672213_408194179_2_0_0&sr_pri_blocks=1358672213_408194179_2_0_0__3500000&from=searchresults
Mumbai,2025-11-06,2025-11-08,Hyatt Centric Juhu Mumbai,"Juhu, Mumbai (Western Suburbs)",Scored 8.28.2Very good722 reviews,CAD 509,https://www.booking.comhttps://www.booking.com/hotel/in/hyatt-centric-juhu-mumbai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=858132204_360467152_2_2_0_44885&highlighted_blocks=858132204_360467152_2_2_0_44885&matching_block_id=858132204_360467152_2_2_0_44885&sr_pri_blocks=858132204_360467152_2_2_0_44885_3200000&from=searchresults
Mumbai,2025-11-06,2025-11-08,The Ferreiras,"South Mumbai, Mumbai",Scored 9.39.3Superb84 reviews,CAD 372,https://www.booking.comhttps://www.booking.com/hotel/in/ferreira-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=408614501_397545860_2_2_0&highlighted_blocks=408614501_397545860_2_2_0&matching_block_id=408614501_397545860_2_2_0&sr_pri_blocks=408614501_397545860_2_2_0__2339820&from=searchresults
Mumbai,2025-11-06,2025-11-08,The Sahil Hotel,"South Mumbai, Mumbai",Scored 8.18.1Very good526 reviews,CAD 318,https://www.booking.comhttps://www.booking.com/hotel/in/sahil.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=28706411_186239553_2_41_0&highlighted_blocks=28706411_186239553_2_41_0&matching_block_id=28706411_186239553_2_41_0&sr_pri_blocks=28706411_186239553_2_41_0__2000000&from=searchresults
