Hotel Name,Location,Rating,Reviews,Price,URL
Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)","Scored 8.7
8.7
Excellent
1,008 reviews",,,https://www.booking.com/hotel/ca/renaissance-toronto-downtown.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Hilton Toronto,"Financial District, Toronto (Financial District)","Scored 8.3
8.3
Very Good
1,007 reviews",,,https://www.booking.com/hotel/ca/hilton-toronto.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
The Yorkville Royal Sonesta Hotel Toronto,"The Annex, Toronto (The Annex)","Scored 8.9
8.9
Excellent
2,250 reviews",,,https://www.booking.com/hotel/ca/royal-sonesta-toronto-yorkville.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)","Scored 8.0
8.0
Very Good
2,725 reviews",,,https://www.booking.com/hotel/ca/cosmopolitan-spa.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)","Scored 8.4
8.4
Very Good
1,245 reviews",,,https://www.booking.com/hotel/ca/hyatt-regency-toronto.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
W Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)","Scored 7.8
7.8
Good
229 reviews",,,https://www.booking.com/hotel/ca/toronto-marriott-bloor-yorkville.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
"Revery Toronto Downtown, Curio Collection by Hilton","Entertainment District, Toronto (Entertainment District)","Scored 9.1
9.1
Wonderful
424 reviews",,,https://www.booking.com/hotel/ca/hilton-garden-inn-toronto-downtown-ontario.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
"The Westin Harbour Castle, Toronto","The Harbourfront, Toronto (The Harbourfront)","Scored 8.4
8.4
Very Good
1,617 reviews",,,https://www.booking.com/hotel/ca/the-westin-harbour-castle-toronto-ontario.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
"Toor Hotel Toronto, Part Of Jdv By Hyatt","Downtown Toronto, Toronto","Scored 8.6
8.6
Excellent
209 reviews",,,https://www.booking.com/hotel/ca/toor-toronto-part-of-jdv-by-hyatt.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Delta Hotels by Marriott Toronto,"Entertainment District, Toronto (Entertainment District)","Scored 8.9
8.9
Excellent
1,442 reviews",,,https://www.booking.com/hotel/ca/delta-toronto-southcore-financial-centre.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
Union Hotel,"Financial District, Toronto (Financial District)","Scored 8.4
8.4
Very Good
751 reviews",,,https://www.booking.com/hotel/ca/union-hotel.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)","Scored 8.8
8.8
Excellent
1,362 reviews",,,https://www.booking.com/hotel/ca/inter-continental-toronto-centre.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Courtyard by Marriott Toronto Downtown,"The Village, Toronto (The Village)","Scored 8.3
8.3
Very Good
1,335 reviews",,,https://www.booking.com/hotel/ca/courtyard-by-marriott-downtown-toronto.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Residence Inn by Marriott Toronto Downtown / Entertainment District,"Entertainment District, Toronto (Entertainment District)","Scored 8.6
8.6
Excellent
1,107 reviews",,,https://www.booking.com/hotel/ca/residence-inn-by-marriott-downtown-toronto-entertainment-district.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Four Seasons Hotel Toronto,"Bloor-Yorkville, Toronto (Bloor-Yorkville)","Scored 9.2
9.2
Wonderful
223 reviews",,,https://www.booking.com/hotel/ca/four-seasons-toronto-at-yorkville.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
